SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
أنا <b>أعمل</b>;أَنَا <b>أَعْمَلُ</b>;Je travaille.;[sound:59_travaille_sentBase.mp3];أعمل;أَعْمَلُ;je travaille;[sound:59_travaille_vocabBase.mp3];"<img src=""59_travaille.avif"">";59;F2K;"verbe courant;"
هي <b>طالبة</b>;هِيَ <b>طَالِبَةٌ</b>;Elle est étudiante.;[sound:60_etudiante_sentBase.mp3];طالبة;طَالِبَةٌ;étudiante;[sound:60_etudiante_vocabBase.mp3];"<img src=""60_etudiante.avif"">";60;F2K;"statut;"
هو <b>طالب</b>;هُوَ <b>طَالِبٌ</b>;Il est étudiant.;[sound:61_etudiant_sentBase.mp3];طالب;طَالِبٌ;étudiant;[sound:61_etudiant_vocabBase.mp3];"<img src=""61_etudiant.avif"">";61;F2K;"statut;"
عندي <b>درس</b>;عِنْدِي <b>دَرْسٌ</b>;J'ai un cours.;[sound:62_cours_sentBase.mp3];درس;دَرْسٌ;cours;[sound:62_cours_vocabBase.mp3];"<img src=""62_cours.avif"">";62;F2K;"études;"
<b>نحن</b> هنا;<b>نَحْنُ</b> هُنَا;Nous sommes ici.;[sound:63_nous_sentBase.mp3];نحن;نَحْنُ;nous;[sound:63_nous_vocabBase.mp3];"<img src=""63_nous.avif"">";63;F2K;"pronom;"
<b>أنتم</b> هنا;<b>أَنْتُمْ</b> هُنَا;Vous êtes ici.;[sound:64_etes_sentBase.mp3];أنتم;أَنْتُمْ;vous;[sound:64_etes_vocabBase.mp3];"<img src=""64_etes.avif"">";64;F2K;"pronom;"
<b>هم</b> هنا;<b>هُمْ</b> هُنَا;Ils sont ici.;[sound:65_ils_sentBase.mp3];هم;هُمْ;ils;[sound:65_ils_vocabBase.mp3];"<img src=""65_ils.avif"">";65;F2K;"pronom;"
<b>ما</b> هذا؟;<b>مَا</b> هَذَا؟;Qu'est-ce que c'est ?;[sound:66_quoi_sentBase.mp3];ماذا;مَاذَا;quoi;[sound:66_quoi_vocabBase.mp3];"<img src=""66_quoi.avif"">";66;F2K;"mot-question;"
<b>من</b> هذا؟;<b>مَنْ</b> هَذَا؟;Qui est-ce ?;[sound:67_qui_sentBase.mp3];من;مَنْ;qui;[sound:67_qui_vocabBase.mp3];"<img src=""67_qui.avif"">";67;F2K;"mot-question;"
أين <b>أنت</b>؟;أَيْنَ <b>أَنْتَ</b>؟;Où es-tu ?;[sound:68_tu_sentBase.mp3];أنت;أَنْتَ;tu;[sound:68_tu_vocabBase.mp3];"<img src=""68_tu.avif"">";68;F2K;
هذا <b>ليس</b> جيداً;هَذَا <b>لَيْسَ</b> جَيِّدًا;Ce n'est pas bien.;[sound:69_pas_sentBase.mp3];ليس;لَيْسَ;n'est pas;[sound:69_pas_vocabBase.mp3];"<img src=""69_pas.avif"">";69;F2K;"négation;"
أنا في <b>السعودية</b>;أَنَا فِي <b>السُّعُودِيَّةِ</b>;Je suis en Arabie saoudite.;[sound:70_arabie_saoudite_sentBase.mp3];السعودية;السُّعُودِيَّةُ;Arabie saoudite;[sound:70_arabie_saoudite_vocabBase.mp3];"<img src=""70_arabie_saoudite.avif"">";70;F2K;"pays;"
موريتانيا <b>بلد</b> جميل;مُورِيتَانْيَا <b>بَلَدٌ</b> جَمِيلٌ;La Mauritanie est un beau pays.;[sound:71_pays_sentBase.mp3];بلد;بَلَدٌ;pays;[sound:71_pays_vocabBase.mp3];"<img src=""71_pays.avif"">";71;F2K;"mot courant;"
أنا أحب <b>موريتانيا</b>;أَنَا أُحِبُّ <b>مُورِيتَانْيَا</b>;J'aime la Mauritanie.;[sound:72_mauritanie_sentBase.mp3];موريتانيا;مُورِيتَانْيَا;Mauritanie;[sound:72_mauritanie_vocabBase.mp3];"<img src=""72_mauritanie.avif"">";72;F2K;"pays;"
