SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
<b>احتفظ</b> به في مكان بارد;<b>اِحْتَفَظَ</b> بِه فِي مَكَانِ بَارِدِ;Conservez-le au frais.;;احتفظ;اِحْتَفَظَ;Conservez-le;;;511;F2K;
لا تتدخل فيما لا <b>يعنيك</b>!;لَا تَتَدَخَّلُ فِيمَا لَا <b>يَعْنِيكَ</b>;Ne te mêle pas de ce qui ne te regarde pas !;;يعنيك;يَعْنِيكَ;te;;;512;F2K;
هل هذه المعلومة <b>صحيحة</b>؟;هَل هَذِه الْمَعْلُومَةُ <b>صَحِيحَةٌ</b> ؟;Cette information est-elle correcte ?;;صحيحة;صَحِيحَةٌ;information;;;513;F2K;
رائحة <b>فمك</b> كريهة;رَائِحَةُ <b>فَمِكَ</b> كَرِيهَةً;Tu as mauvaise haleine.;;فمك;فَمَكَّ;haleine;;;514;F2K;
رأيتك <b>راكبا</b>ً سيارتك الجديدة;رَأْيَتُكَ <b>رَاكِبًا</b> سَيَّارَتَكَ الْجَدِيدَةَ;Je t'ai vu au volant de ta nouvelle voiture.;;راكباً;رَاكِبَا;voiture;;;515;F2K;
أعد الكتاب إلى <b>صاحبه</b>;أَعْدُ الْكِتَابَ إِلَى <b>صَاحِبِهِ</b>;Rends le livre à son propriétaire.;;صاحبه;صَاحَبَهُ;Rends;;;516;F2K;
أمضت <b>طفولة</b> سعيدة;أَمَضَتْ <b>طُفُولَةُ</b> سَعِيدَةُ;Elle a eu une enfance heureuse.;;طفولة;طُفُولَةٌ;enfance;;;517;F2K;
أعيش في الطابق <b>الأرضي</b>;أَعَيْشٌ فِي الطَّابَقِ <b>الْأَرْضِيِّ</b>;J'habite au rez-de-chaussée.;;الأرضي;الْأَرْضِيُّ;rez-de-chaussée;;;518;F2K;
هناك الكثير من <b>الحيوانات</b> في الحديقة;هُنَاك الْكَثِيرِ مِن <b>الْحَيَوَانَاتِ</b> فِي الْحَديقَةِ;Il y a beaucoup d'animaux dans le parc.;;الحيوانات;الْحَيَوَانَاتُ;d'animaux;;;519;F2K;
ساعدني أبي في <b>حل</b> واجبي;سَاعَدَنِي أَبِي فِي <b>حَلِّ</b> وَاجِبِي;Mon père m'a aidé à faire mes devoirs.;;حل;حَلٌّ;aidé;;;520;F2K;
لديّ عشرة <b>أقلام</b>;لُدِّيُّ عُشُرَةِ <b>أَقْلَاَمٍ</b>;J'ai dix stylos.;;أقلام;أَقْلَاَمٌ;stylos;;;521;F2K;
أختي <b>أقصر</b> منك;أَخَتُي <b>أقْصَرُ</b> مِنكَ;Ma sœur est de plus petite taille que toi.;;أقصر;أَقَصْرٌ;ma;;;522;F2K;
أعطاني توم <b>قلما</b>ً;أَعْطَانِي تُومُ <b>قَلَمًا</b>;Tom m'a donné un stylo.;;قلماً;قَلَمَا;stylo;;;523;F2K;
أضعت الساعة <b>التي</b> أعطاني إياها والدي;أَضُعْتُ السَّاعَةَ <b>الَّتِي</b> أَعْطَانِي إِيَّاهَا وَالِدِيٍّ;J'ai perdu la montre que Père m'a donnée.;;التي;الَّتِي;j'ai;;;524;F2K;
هل يمكنك إعارتي <b>قاموسك</b>؟;هَلٌّ يُمْكِنُكَ إِعَارَتُي <b>قَامُوسَكَ</b> ؟;Peux-tu me prêter ton dictionnaire ?;;قاموسك;قَامُوسُكَ;ton;;;525;F2K;
نصيحتك <b>تفيدني</b> دائما;نَصِيحَتُكَ <b>تُفِيدُنِي</b> دَائِمَا;Tes conseils me sont toujours d'une aide précieuse.;;تفيدني;تُفِيدُنِي;tes;;;526;F2K;
لا أشكّ <b>لحظة</b> في صدقك;لَا أَشَكَّ <b>لَحْظَةُ</b> فِي صِدْقِكَ;Je ne doute pas un seul instant de votre sincérité.;;لحظة;لَحْظَةَ;doute;;;527;F2K;
من فضلك <b>تنحّى</b> جانباً;مِن فَضْلِكَ <b>تَنَحَّى</b> جَانِبَا;Veuillez reculer s'il vous plaît.;;تنحّى;تَنَحَّى;Veuillez;;;528;F2K;
كن <b>هادئا</b>ً وقت الدرس;كَنَّ <b>هَادِئَا</b> وَقْتِ الدَّرْسِ;Ne fais pas de bruit pendant le cours.;;هادئاً;هَادِئَا;fais;;;529;F2K;
أتى الولد <b>راكضا</b>ً;أَتَى الْوَلَدُ <b>رَاكِضًا</b>;Le garçon est arrivé en courant.;;راكضاً;رَاكِضَا;arrivé;;;530;F2K;
أدين <b>بنجاحي</b> لصديقي;أَدِّيَنَّ <b>بِنُجَّاحِيٍّ</b> لِصَدِيقِيٍّ;Je dois mon succès à mon ami.;;بنجاحي;بِنُجَّاحِيٍّ;mon;;;531;F2K;
ليس باليد <b>حيلة</b>;لِيسَ بِالْيَدِ <b>حِيلَةً</b>;Je ne peux rien faire.;;حيلة;حِيلَةٌ;peux;;;532;F2K;
<b>أعطت</b> الحليب لقط;<b>أَعْطَتْ</b> الْحَلِيبُ لِقِطٍّ;Elle a donné du lait à un chat.;;أعطت;أَعْطَتْ;chat;;;533;F2K;
<b>السفينة</b> تغرق;<b>السَّفِينَةُ</b> تُغَرِّقُ;Le bateau coule.;;السفينة;السَّفِينَةُ;le;;;534;F2K;
باتي <b>قتلتها</b>;بَاتِّيُّ <b>قَتْلَتِهَا</b>;Betty l'a tuée.;;قتلتها;قَتَلَتْهَا;Betty;;;535;F2K;
ماذا تفعل <b>بأوقات</b> فراغك؟;مَاذَا تَفْعَلُ <b>بِأَوْقَاتِ</b> فَرَاغِكَ ؟;Que faites-vous de votre temps libre ?;;بأوقات;بِأَوْقَاتٍ;faites-vous;;;536;F2K;
هذا <b>الكلب</b> أبيض;هَذَا <b>الْكَلْبُ</b> أَبْيَضُ;Ce chien est blanc.;;الكلب;الْكَلْبُ;chien;;;537;F2K;
<b>نهر</b> شينانو أطول من أي نهر آخر في اليابان;<b>نَهْرُ</b> شَيْنَاْنَوْ أَطُولٌ مِن أَيِّ نَهْرِ آخِرِ فِي الْيَابَانِ;Le fleuve Shinano est plus long que n'importe quelle rivière du Japon.;;نهر;نَهْرٌ;fleuve;;;538;F2K;
عليك أن تجيب على <b>السؤال</b>;عَلَيْكَ أَن تُجِيبُ عَلَى <b>السُّؤَالِ</b>;Tu dois répondre à la question.;;السؤال;السُّؤَالُ;répondre;;;539;F2K;
من المهم أن <b>تتذكر</b> من هم أصدقاؤك;مِن الْمُهِمِّ أَن <b>تَتَذَكَّرُ</b> مِن هُم أَصْدِقَاؤُكَ;Il est important de se rappeler de ses amis.;;تتذكر;تَتَذَكَّرُ;important;;;540;F2K;
<b>رأيي</b> أنه محق;<b>رَأْيِيٌّ</b> أَنّهُ مُحِقَّ;Je crois qu'il a raison.;;رأيي;رَأْيِيٌّ;crois;;;541;F2K;
أي <b>قاموس</b> تعنيه؟;أَيَّ <b>قَامُوسِ</b> تَعَنِّيِهِ ؟;À quel dictionnaire t'es-tu référé ?;;قاموس;قَامُوسٌ;dictionnaire;;;542;F2K;
الحب <b>أعمى</b>;الْحُبُّ <b>أعْمَى</b>;L'amour est aveugle.;;أعمى;أَعْمَى;L'amour;;;543;F2K;
ما هي <b>مهنتك</b>؟;مَا هِي <b>مِهْنَتِكَ</b> ؟;Tu travailles dans quoi ?;;مهنتك;مَهَنَتْكَ;travailles;;;544;F2K;
<b>لدينا</b> نفس السن;<b>لَدَيْنَا</b> نَفْس السِّنِّ;Il a le même âge que moi.;;لدينا;لَدَيْنَا;nous avons;;;545;F2K;
افكاره <b>تختلف</b> عن افكاري;اَفْكَارُهُ <b>تَخْتَلِفُ</b> عَن اْفَكَاْرَيْ;Ces idées sont assez différentes des miennes.;;تختلف;تَخْتَلِفُ;ces;;;546;F2K;
انصحك ان <b>تتوقف</b> عن التدخين;اِنْصَحْكَ انَّ <b>تَتَوَقَّفُ</b> عَن التَّدْخِينِ;Je te conseille d'arrêter de fumer.;;تتوقف;تَتَوَقَّفُ;d'arrêter;;;547;F2K;
طلب <b>مني</b> النصيحة;طَلَبَ <b>مَنُّي</b> النَّصِيحَةُ;Il m'a demandé conseil.;;مني;مُنِيَ;m'a;;;548;F2K;
أيمكنني الذهاب <b>معه</b>؟;أَيُمْكِنُنِي الذَّهَابُ <b>مَعهُ</b> ؟;Je peux aller avec lui ?;;معه;مَعهُ;aller;;;549;F2K;
<b>سيُفرج</b> عن الرهائن;<b>سَيُفَرِّجُ</b> عَن الرَّهَائِنِ;Les otages seront libérés.;;سيُفرج;سَيُفْرِجُ;libérés;;;550;F2K;
نحن <b>مضطرون</b> للتوقف عن تنفيذ خطتنا;نَحْن <b>مُضْطَرُّونَ</b> لِلتَّوَقُّفَ عَن تَنْفِيذِ خُطَّتِنَا;Nous avons été contraints d'abandonner notre plan.;;مضطرون;مُضْطَرُّونَ;été;;;551;F2K;
لقد عاد كل <b>العمال</b> لمنازلهم عدا واحد;لِقَدٌّ عَاد كُلّ <b>الْعُمَّالِ</b> لِمُنَازِلَهُمْ عَدَا وَاحِدٍ;Tous les ouvriers rentrèrent chez eux sauf un.;;العمال;الْعُمَّالُ;ouvriers;;;552;F2K;
لقد انتهى كل <b>شيء</b> بالنسبة لي . لقد فقدت عملي;لِقَدَّ اِنْتَهَى كُلّ <b>شَيْءٍ</b> بِالنِّسْبَةِ لِي لِقَدٌّ فَقَدَتْ عَمَلِيٌّ;Tout est fini pour moi. J'ai perdu mon travail.;;شيء;شَيْءٌ;est;;;553;F2K;
لا يسعني إلا أن <b>أؤدي</b> أفضل ما لدي;لَا يَسَعُنِي إِلَّا أَنّ <b>أُؤَدِّي</b> أفْضَلَ مَا لُدِّي;Tout ce que je peux faire c'est faire de mon mieux.;;أؤدي;أُؤَدِّي;faire;;;554;F2K;
استيقظت عند <b>السادسة</b> هذا الصباح;اِسْتَيْقَظَتْ عِنْد <b>السَّادِسَةِ</b> هَذَا الصَّبَاحِ;Je me suis réveillé à six heures ce matin.;;السادسة;السَّادِسَةُ;heures;;;555;F2K;
لا إنجاز <b>بلا</b> جهد;لَا إِنْجَازٍ <b>بِلَا</b> جَهْدٍ;Rien n'est accompli sans effort.;;بلا;بِلَا;accompli;;;556;F2K;
لم يتمكن من <b>السيطرة</b> على اعصابه;لَم يَتِمُّكُنَّ مِن <b>السَّيْطَرَةِ</b> عَلَى اْعَصَاْبَهْ;Il n'a pas pu contrôler sa colère.;;السيطرة;السَّيْطَرَةُ;pu;;;557;F2K;
<b>وضعت</b> السماعة قريبا من أذني;<b>وَضَعَتْ</b> السَّمَاعَةُ قَرِيبًا مِن أُذْنِيٍّ;J'ai mis le combiné du téléphone près de mon oreille.;;وضعت;وَضَعَتْ;mis;;;558;F2K;
ليست لدي <b>أدنى</b> فكرة عن مكان إقامتها;لَيْسَت لُدِّيٍّ <b>أَدْنَى</b> فِكْرَةٍ عَن مَكَانِ إقَامَتِهَا;Je n'ai aucune idée d'où elle habite.;;أدنى;أَدْنَى;d'où;;;559;F2K;
أنا <b>فقير</b>;أَنَا <b>فَقِيرٍ</b>;Je suis pauvre.;;فقير;فَقِيرٌ;pauvre;;;560;F2K;
<b>الدنيا</b> صغيرة;<b>الدُّنْيَا</b> صَغِيرَةٌ;Le monde est petit.;;الدنيا;الدُّنْيَا;petit;;;561;F2K;
لا <b>يحتاج</b> لامرأة كي تعتني به;لَا <b>يَحْتَاجُ</b> لِاِمْرَأَةٌ كَي تَعْتَنِي بِه;Il n'a pas besoin d'une femme pour s'occuper de lui.;;يحتاج;يَحْتَاجُ;lui;;;562;F2K;
هو ليس بحاجة <b>لامرأة</b> كي تعتني به;هُو لَيْس بِحَاجَةٍ <b>لِاِمْرَأَةً</b> كَي تَعْتَنِي بِه;Il n'a pas besoin d'une femme pour s'occuper de lui.;;لامرأة;لِاِمْرَأَةٌ;n'a;;;563;F2K;
نسيت أن <b>أسأله</b>;نَسِيَتْ أَنّ <b>أَسَأَلَهُ</b>;J'ai oublié de lui demander.;;أسأله;أَسَأَلَهُ;oublié;;;564;F2K;
أيمكنك كتابة <b>رسالة</b> بالإنجليزية؟;أَيُمْكِنُكَ كِتَابَةُ <b>رِسَالَةِ</b> بَاْلَإَنَجَلَيْزَيْةْ ؟;Pouvez-vous écrire une lettre en anglais ?;;رسالة;رِسَالَةٌ;écrire;;;565;F2K;
<b>كَمن</b> يبحث عن إبرة في كومة قَشّ;<b>كَمَنٍّ</b> يَبْحَثُ عَن إِبْرَةٍ فِي كُومَةِ قَشٍّ;C'est comme chercher une aiguille dans une botte de foin.;;كَمن;كَمَنَ;c'est;;;566;F2K;
<b>لبس</b> الرجل قناع نمر;<b>لِبَسَّ</b> الرَّجُلُ قِنَاعَ نَمِرٍ;L'homme mit un masque de tigre.;;لبس;لِبَسَّ;L'homme;;;567;F2K;
يجب عليك <b>المجيء</b> معي;يَجِبُ عَلَيْكَ <b>الْمَجِيءَ</b> مَعِيٌّ;Vous devez venir avec moi.;;المجيء;الْمَجِيءُ;venir;;;568;F2K;
لبس <b>الرجل</b> قناع نمر;لِبَسَّ <b>الرَّجُلُ</b> قِنَاعَ نَمِرٍ;L'homme mit un masque de tigre.;;الرجل;الرَّجُلُ;L'homme;;;569;F2K;
<b>ضع</b> الجزر في القدر;<b>ضَعْ</b> الْجَزَرَ فِي الْقَدْرِ;Mets les carottes dans la casserole.;;ضع;ضَعْ;Mets;;;570;F2K;
هذا الكلب <b>أبيض</b>;هَذَا الْكَلْبُ <b>أَبْيَضُ</b>;Ce chien est blanc.;;أبيض;أَبَيَّضَ;blanc;;;571;F2K;
سيُفرج عن <b>الرهائن</b>;سَيُفَرِّجُ عَن <b>الرَّهَائِنِ</b>;Les otages seront libérés.;;الرهائن;الرَّهَائِنُ;libérés;;;572;F2K;
أعرف أخاك <b>جيدا</b>ً;أَعَرَفَ أَخَاكَ <b>جَيِّدًا</b>;Je connais très bien ton frère.;;جيداً;جَيِّدَا;bien;;;573;F2K;
هو <b>هَزّ</b> برأسِه;هُو <b>هَزَّ</b> بِرَأْسِهِ;Il secoua la tête.;;هَزّ;هَزَّ;secoua;;;574;F2K;
لم <b>نتمكن</b> من الوصول في الوقت المحدد و كان هذا بسبب العاصفة;لَم <b>نَتِمُّكُنَّ</b> مِن الْوُصُولِ فِي الْوَقْتِ الْمُحَدَّدِ وْ كَان هَذَا بِسَبَبِ الْعَاصِفَةِ;Nous ne pûmes arriver à l'heure convenue en raison de la tempête.;;نتمكن;نَتِمُّكُنَّ;pûmes;;;575;F2K;
<b>مسحت</b> دمعها;<b>مَسَحَتْ</b> دَمْعُهَا;Elle sécha ses larmes.;;مسحت;مَسَحَتْ;larmes;;;576;F2K;
مسحت <b>دموعها</b>;مَسَحَتْ <b>دُموعُهَا</b>;Elle sécha ses larmes.;;دموعها;دُموعُهَا;larmes;;;577;F2K;
هم <b>أقوياء</b> مثلنا;هُم <b>أَقْوِيَاءِ</b> مِثْلنَا;Ils sont aussi forts que nous.;;أقوياء;أَقْوِيَاءُ;que;;;578;F2K;
<b>أخشى</b> أن تمطر غدًا;<b>أَخْشَى</b> أَنّ تَمَطُّرِ غَدًا;Je crains qu'il pleuve demain.;;أخشى;أَخْشَى;crains;;;579;F2K;
عاملتها <b>كأنها</b> بنتي;عَامَلَتْهَا <b>كأَنّهَا</b> بِنْتَي;Je l'ai traitée comme ma propre fille.;;كأنها;كأَنّهَا;fille;;;580;F2K;
<b>سألني</b> الشيخ عن الساعة;<b>سَأَلَنِي</b> الشَّيْخُ عَن السَّاعَةِ;Le vieil homme me demanda l'heure.;;سألني;سَأَلَنِي;l'heure;;;581;F2K;
يبدو عليك <b>التعب</b>;يَبْدُو عَلَيْك <b>التَّعَبِ</b>;Vous avez l'air très fatigué.;;التعب;التَّعَبُ;avez;;;582;F2K;
لا تفتح <b>كتابك</b>;لَا تَفْتَحُ <b>كِتَابَكَ</b>;N'ouvre pas ton livre.;;كتابك;كِتَابُكَ;ton;;;583;F2K;
لم أعد <b>أحبه</b>;لَم أَعَدٌّ <b>أَحَبَّهُ</b>;Je ne l'aime plus.;;أحبه;أَحَبَّهُ;l'aime;;;584;F2K;
إنه <b>يجهز</b> نفسه للإمتحان;إِنّهُ <b>يُجَهِّزُ</b> نَفْسهُ لَلَإَمَتَحَاْنْ;Il se prépare pour le test.;;يجهز;يُجَهِّزُ;test;;;585;F2K;
إنه <b>يستعد</b> للامتحان;إِنّهُ <b>يَسْتَعِدُّ</b> لِلْاِمْتِحَانُ;Il se prépare pour le test.;;يستعد;يَسْتَعِدُّ;test;;;586;F2K;
هذا <b>الجهاز</b> يولد الكهرباء;هَذَا <b>الْجِهَازِ</b> يُوَلِّدُ الْكَهْرَبَاءُ;Cet appareil produit de l'électricité.;;الجهاز;الْجِهَازُ;appareil;;;587;F2K;
<b>تركته</b> لتكون مع رجل آخر;<b>تَرَكَتْهُ</b> لِتَكَوُّنِ مَع رَجُلِ آخِرِ;Elle l'a quitté pour un autre homme.;;تركته;تَرَكَتْهُ;quitté;;;588;F2K;
إنها <b>تعيش</b> في نيويورك;إِنّهَا <b>تَعَيُّشَ</b> فِي نِيُويُورْكٍ;Elle vit à New York.;;تعيش;تَعَيَّشَ;vit;;;589;F2K;
آسف <b>ساعتي</b> ليست معي;آسَفَ <b>سَاعَتُِي</b> لَيْسَت مَعْي;Désolé, je n'ai pas ma montre.;;ساعتي;سَاعَتَِي;ma;;;590;F2K;
<b>أكره</b> القهوة;<b>أَكَرِهَ</b> الْقَهْوَةُ;Je déteste le café.;;أكره;أَكَرِهَ;déteste;;;591;F2K;
ذهبَتْ إلى هناك <b>الصيف</b> الماضي;ذَهَبَتْ إِلَى هُنَاك <b>الصَّيْفِ</b> الْمَاضِي;Elle s'y est rendue l'été dernier.;;الصيف;الصَّيْفُ;s'y;;;592;F2K;
<b>أُنشئت</b> هارفارد عام ١٦٣٦م;<b>أُنْشِئَتْ</b> هَاْرَفَاْرَدْ عَامَ ١َ٦َ٣َ٦َمْ;Harvard fut fondé en 1636.;;أُنشئت;أُنْشِئَتْ;Harvard;;;593;F2K;
أكره <b>القهوة</b>;أَكَرِهَ <b>الْقَهْوَةُ</b>;Je déteste le café.;;القهوة;الْقَهْوَةُ;café;;;594;F2K;
لن <b>أنساك</b> أبداً;لَن <b>أَنْسَاكَ</b> أبَدَا;Je ne vous oublierai jamais.;;أنساك;أَنْسَاكَ;jamais;;;595;F2K;
أحبك <b>بجنون</b>;أَحَبَّكَ <b>بِجُنُونٍ</b>;Je suis fou de toi.;;بجنون;بِجُنُونٍ;toi;;;596;F2K;
<b>سأُحوّل</b> المبلغ;<b>سَأُحَوِّلُ</b> الْمَبْلَغَ;Je vais transférer la somme d'argent.;;سأُحوّل;سَأُحَوِّلُ;d'argent;;;597;F2K;
إنه يجهز <b>نفسه</b> للإمتحان;إِنّهُ يُجَهِّزُ <b>نَفْسهُ</b> لَلَإَمَتَحَاْنْ;Il se prépare pour le test.;;نفسه;نَفْسهُ;pour;;;598;F2K;
أنا <b>مريض</b>;أَنَا <b>مَرِيضٍ</b>;Je suis malade.;;مريض;مَرِيضٌ;malade;;;599;F2K;
لقد <b>تردد</b> قبل الإجابة;لِقَدَّ <b>تَرَدُّدُ</b> قَبْل الْإِجَابَةِ;Il hésita avant de répondre.;;تردد;تَرَدَّدَ;hésita;;;600;F2K;
يجب أن أتعلم <b>العربية</b>;يَجِبُ أَنّ أَتَعَلَّمَ <b>الْعَرَبِيَّةَ</b>;Je dois apprendre l'arabe.;;العربية;الْعَرَبِيَّةُ;l'arabe;;;601;F2K;
لن أنساك <b>أبدا</b>ً;لَن أَنْسَاكَ <b>أبَدَا</b>;Je ne vous oublierai jamais.;;أبداً;أبَدَا;jamais;;;602;F2K;
<b>غير</b> معقول !;<b>غَيْرَ</b> مَعْقُولٍ;Incroyable !;;غير;غَيْرَ;Incroyable;;;603;F2K;
نحن <b>نرحب</b> بك في نادينا;نَحْن <b>نُرَحِّبُ</b> بِك فِي نَادِيِنَا;Nous vous souhaitons la bienvenue à notre club.;;نرحب;نُرَحِّبُ;club;;;604;F2K;
<b>الجميع</b> كان حاضرا إلا شخص واحد;<b>الْجَمِيعُ</b> كَان حَاضِرًا إِلَّا شَخْصِ وَاحِدِ;Tous sauf une personne étaient présents.;;الجميع;الْجَمِيعُ;Tous;;;605;F2K;
سأحاول <b>مرة</b> أخرى، شكراً لك;سَأُحَاوِلُ <b>مَرَّة</b> أُخْرَى ، شُكْرًا لَك;Je vais encore essayer, merci.;;مرة;مَرَّة;vais;;;606;F2K;
<b>أخذني</b> أبي إلى السينما مساء أمس;<b>أَخَذَنِي</b> أَبِيٌّ إِلَى السِّينَمَا مَسَاء أَمْس;Mon père m'a emmené au cinéma hier soir.;;أخذني;أَخَذَنِي;emmené;;;607;F2K;
<b>اقرأ</b> هذا الكتاب;<b>اِقْرَأْ</b> هَذَا الْكِتَابِ;Lis ce livre.;;اقرأ;اِقْرَأْ;Lis;;;608;F2K;
<b>اطّلع</b> على هذا الكتاب;<b>اِطَّلَعَ</b> عَلَى هَذَا الْكِتَابِ;Lis ce livre.;;اطّلع;اِطَّلَعَ;Lis;;;609;F2K;
قد يبدو <b>أحيانا</b>ً شاباً غريباً;قَد يَبْدُو <b>أَحَيَّانَا</b> شَابَّا غَرِيبَا;Parfois il peut être un gars bizarre.;;أحياناً;أَحَيَّانَا;parfois;;;610;F2K;
هل <b>بقي</b> ملح؟;هَل <b>بَقِّيِّ</b> مِلْحٍ ؟;Reste-t-il du sel ?;;بقي;بَقِيَ;Reste-t-il;;;611;F2K;
<b>كانا</b> يبدوان سعيدين جدا;<b>كَانَا</b> يَبْدُوَانِّ سَعِيدِينَ جِدّا;Ils avaient l'air très heureux.;;كانا;كَانَا;heureux;;;612;F2K;
<b>النقد</b> سهل لكن الفن صعب;<b>النَّقْدُ</b> سَهْلٌ لَكِنّ الْفَنِّ صَعْبٌ;La critique est facile mais l'art est difficile.;;النقد;النَّقْدُ;est;;;613;F2K;
أنا <b>أعمل</b> هنا. لست زائرا;أَنَا <b>أَعَمِلَ</b> هُنَا لُسْتُ زَائِرًا;Je travaille ici. Je ne suis pas un invité.;;أعمل;أَعَمَلٌ;travaille;;;614;F2K;
شك <b>المحامي</b> في براءته;شَكُّ <b>الْمُحَامِي</b> فِي برَاءَتِهِ;L'avocat doutait de son innocence.;;المحامي;الْمُحَامِي;L'avocat;;;615;F2K;
ماذا <b>تنصحني</b> أن أفعل؟;مَاذَا <b>تَنْصَحُنِي</b> أَنّ أَفِعْلٌ ؟;Que me conseillez-vous de faire ?;;تنصحني;تَنْصَحُنِي;conseillez-vous;;;616;F2K;
<b>دخان</b> السجائر يزعج الركاب الآخرين;<b>دُخَانُ</b> السَّجَائِرِ يُزْعِجُ الرِّكَابُ الْآخِرَيْنِ;La fumée des cigarettes dérange les autres passagers.;;دخان;دُخَانٌ;passagers;;;617;F2K;
كان الجو <b>باردًا</b> في ذلك اليوم، وايضاً، بدأت تمطر;كَان الْجَوِّ <b>بَارِدًا</b> فِي ذَلِك الْيَوْمِ ، وايضاً ، بَدَأَتْ تَمَطُّرٌ;Il faisait froid ce jour-là, et il commença en outre à pleuvoir.;;باردًا;بَارِدًا;faisait;;;618;F2K;
أنت <b>أصلا</b> غير مفيد;أَنْت <b>أَصْلا</b> غَيْرِ مُفِيدٍ;Tu es déjà inutile.;;أصلا;أَصْلا;déjà;;;619;F2K;
عما <b>تتحدثون</b>؟;عَمَّا <b>تَتَحَدَّثُونَ</b> ؟;De quoi parlez-vous ?;;تتحدثون;تَتَحَدَّثُونَ;parlez-vous;;;620;F2K;
عما <b>تتحدثن</b>؟;عَمَّا <b>تَتَحَدَّثَنَّ</b> ؟;De quoi parlez-vous ?;;تتحدثن;تَتَحَدَّثَنَّ;parlez-vous;;;621;F2K;
عما <b>تتحدثان</b>؟;عَمَّا <b>تَتَحَدَّثَانِّ</b> ؟;De quoi parlez-vous ?;;تتحدثان;تَتَحَدَّثَانِّ;parlez-vous;;;622;F2K;
عما <b>تتحدثين</b>؟;عَمَّا <b>تَتَحَدَّثِينَ</b> ؟;De quoi parlez-vous ?;;تتحدثين;تَتَحَدَّثِينَ;parlez-vous;;;623;F2K;
اليوم هو <b>الإثنين</b>;الْيَوْمُ هُو <b>الْإِثْنَيْن</b>;Aujourd'hui c'est lundi.;;الإثنين;الْإِثْنَيْن;lundi;;;624;F2K;
إنها تعيش في <b>نيويورك</b>;إِنّهَا تَعَيُّشَ فِي <b>نِيُويُورْكٍ</b>;Elle vit à New York.;;نيويورك;نِيُويُورْكٌ;new;;;625;F2K;
<b>أسرع</b>;<b>أَسْرَعَ</b>;Dépêchez-vous.;;أسرع;أَسْرَعَ;Dépêchez-vous;;;626;F2K;
ما <b>رأيك</b> في هذا?;مَا <b>رَأْيِكَ</b> فِي هَذَا;Que penses-tu de ça ?;;رأيك;رَأْيُكَ;penses-tu;;;627;F2K;
<b>نرى</b> بأعيننا;<b>نَرَى</b> بِأَعْيُنِنَا;Nous voyons avec nos yeux.;;نرى;نَرَى;yeux;;;628;F2K;
<b>لنعُد</b> !;<b>لِنَعُدُّ</b>;Retournons !;;لنعُد;لِنَعُدُّ;Retournons;;;629;F2K;
<b>المجد</b> لأوكرانيا;<b>الْمَجْدُ</b> لَأَوْكَرَاْنَيْاْ;Gloire à l'Ukraine !;;المجد;الْمَجْدُ;gloire;;;630;F2K;
<b>أحسنت</b> عملا;<b>أَحَسُنَتْ</b> عَمَلَا;Bien cuit !;;أحسنت;أَحْسَنَتْ;Bien;;;631;F2K;
<b>كسول</b>;<b>كَسُولٌ</b>;Branleur.;;كسول;كَسُولٌ;Branleur;;;632;F2K;
هل هناك طبيب على <b>متن</b> الطائرة؟;هَل هُنَاك طَبِيبٍ عَلَى <b>مَتْنِ</b> الطَّائِرَةِ ؟;Y a-t-il un médecin à bord ?;;متن;مَتْنٌ;bord;;;633;F2K;
عليك أن <b>تقلع</b> عن التدخين;عَلَيْكَ أَنّ <b>تَقَلُّعٍ</b> عَن التَّدْخِينِ;Tu devrais cesser de fumer.;;تقلع;تُقْلِعُ;cesser;;;634;F2K;
لا أحد <b>يفهمه</b>;لَا أحَدٍ <b>يَفْهَمُهُ</b>;Personne ne le comprend.;;يفهمه;يَفْهَمُهُ;comprend;;;635;F2K;
ليس <b>معي</b> العنوان الآن;لَيْس <b>مَعْي</b> الْعُنْوَانِ الْآن;Je n'ai pas l'adresse maintenant.;;معي;مَعْي;n'ai;;;636;F2K;
واحد <b>زائد</b> اثنان يساوي ثلاثة;وَاحِدُ <b>زَائِدُ</b> اِثْنَان يُسَاوِي ثَلَاثَةٌ;Un plus deux égale trois.;;زائد;زَائِدٌ;trois;;;637;F2K;
ما تلك <b>الضجة</b>؟;مَا تِلْك <b>الضَّجَّةِ</b> ؟;Quel était ce bruit ?;;الضجة;الضَّجَّةُ;était;;;638;F2K;
شتمني من <b>دون</b> سبب;شَتَّمَنِي مِن <b>دُون</b> سَبَبٍ;Il m'a insulté sans raison.;;دون;دُون;m'a;;;639;F2K;
<b>حاولت</b> أن أغير الموضوع;<b>حَاوَلَتْ</b> أَنّ أغَيْرَ الْمَوْضُوعِ;J’ai essayé de changer le sujet.;;حاولت;حَاوَلَتْ;essayé;;;640;F2K;
<b>هراء</b>;<b>هُرَاءٌ</b>;Foutaises.;;هراء;هُرَاءٌ;Foutaises;;;641;F2K;
قد <b>وصلوا</b> إلى انكلترا قبل اسبوع;قَدٌّ <b>وَصَلُوا</b> إِلَى اِنْكِلْتَرَا قَبْل اْسَبَوْعْ;Ils sont arrivés en Angleterre il y a une semaine.;;وصلوا;وَصَلُوا;semaine;;;642;F2K;
